crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
1,3,3,3,3,3,3,1,0,0,0,0,0,0
2,2,3,2,6,3,3,3,1,1,1,1,0,1
5,9,9,12,12,9,9,9,0,0,0,1,1,0
8,3,2,3,3,2,2,3,0,0,0,0,0,0
4,1,1,1,1,1,1,1,0,0,0,0,0,0
2,13,2,13,10,2,2,13,0,0,0,0,0,0
2,1,1,1,2,1,1,3,1,0,0,1,0,0
9,14,12,12,16,12,15,16,1,1,0,1,0,0
14,18,17,17,17,17,12,17,0,0,0,0,0,0
1,0,12,12,1,12,12,0,0,1,1,1,1,1
5,3,3,3,10,6,3,3,0,0,1,1,0,0
2,4,4,2,2,4,4,6,1,0,0,0,0,0
3,3,2,2,3,2,2,2,0,0,0,0,0,0
6,11,11,11,11,11,11,1,0,0,0,0,0,0
5,7,7,8,12,8,18,7,0,1,1,1,1,0
4,10,1,1,10,1,3,3,0,0,0,0,0,0
11,10,4,1,19,5,4,4,0,0,0,1,0,0
1,1,1,1,2,1,2,1,0,1,0,1,0,0
2,7,2,2,16,7,2,7,0,0,0,1,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
3,4,4,1,14,14,14,4,0,1,1,1,0,0
3,2,2,2,2,5,4,4,1,1,1,0,0,0
1,8,1,8,8,1,1,4,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
19,11,17,17,17,17,17,17,1,1,1,1,1,1
1,1,1,1,2,1,1,1,0,0,0,1,0,0
2,2,2,0,4,2,2,0,0,0,0,1,0,0
1,1,1,1,14,1,17,17,1,1,0,1,0,0
13,18,18,18,15,18,18,18,0,0,0,0,0,0
7,8,8,8,10,10,8,8,0,0,1,1,0,0
9,1,1,3,2,3,19,2,1,1,1,1,1,0
2,2,2,2,2,2,2,2,0,0,0,0,0,0
1,1,1,1,7,7,1,1,0,0,1,1,0,0
1,15,15,15,15,15,15,15,0,0,0,0,0,0
2,4,4,4,4,4,4,4,0,0,0,0,0,0
6,7,19,19,7,7,7,10,1,0,0,0,1,1
14,13,10,10,10,10,10,10,0,0,0,0,0,0
12,15,3,3,5,0,17,8,0,1,0,0,0,0
6,1,1,1,1,1,1,1,0,0,0,0,0,0
5,8,8,2,2,8,2,2,0,0,0,0,0,0
15,9,9,4,4,4,4,9,0,0,0,0,0,0
2,7,2,2,8,2,2,2,0,0,0,1,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,6,1,1,1,0,0,0,1,0,0
2,1,1,1,1,1,1,1,0,0,0,0,0,0
