crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
14,11,2,4,4,4,4,4,1,1,1,1,1,1
5,17,11,11,11,11,17,5,1,1,1,1,0,1
13,15,15,15,15,15,15,15,0,0,0,0,0,0
19,19,8,8,14,14,14,14,1,1,1,1,1,1
13,15,16,16,16,16,16,10,0,0,0,0,0,1
5,12,6,6,9,6,6,9,1,1,1,1,1,1
9,15,10,6,6,15,10,8,1,1,1,0,1,1
10,3,17,3,17,3,3,9,0,0,0,0,0,0
8,19,7,3,7,11,7,3,1,1,1,1,1,1
3,7,5,5,2,7,15,7,1,1,1,0,0,0
19,19,17,17,17,17,17,17,1,1,1,1,1,1
9,8,6,18,8,18,18,8,1,0,0,0,0,0
19,19,16,18,18,16,16,18,1,1,1,1,1,1
6,16,9,9,9,9,9,9,1,1,1,1,1,1
4,13,16,13,6,6,2,6,0,0,1,1,1,1
7,14,6,6,11,6,12,11,1,1,1,1,1,1
1,0,1,1,2,2,6,2,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,5,1,1,10,1,1,1,1,1,0,1,1,1
3,2,2,2,2,2,2,2,0,0,0,0,0,0
19,19,16,16,16,16,16,16,1,1,1,1,1,1
4,5,2,2,4,2,2,2,1,1,1,1,1,1
10,9,9,3,9,8,3,9,0,1,0,1,1,0
11,13,7,7,6,18,7,7,1,1,1,0,1,1
17,13,11,11,11,11,11,11,1,1,1,1,1,1
4,12,12,12,12,12,12,12,0,0,0,0,0,0
6,0,2,2,3,6,2,1,0,0,0,0,0,0
6,3,6,3,6,10,3,6,0,0,0,0,0,0
16,11,11,10,10,11,10,11,0,1,1,0,1,0
3,13,9,9,9,9,3,9,1,1,1,1,1,1
7,6,6,8,1,8,1,1,0,0,1,0,1,1
2,8,2,9,9,9,9,9,1,0,0,0,0,0
1,3,3,3,3,4,4,3,0,0,0,0,0,0
3,6,7,3,7,7,7,7,0,1,0,0,0,0
11,9,14,17,10,10,10,14,0,0,0,0,0,0
8,0,11,11,11,5,8,11,0,0,0,0,0,0
17,14,16,11,4,4,16,11,0,1,1,1,0,1
10,6,6,7,6,6,6,7,0,0,0,0,0,0
6,17,18,11,6,17,18,18,0,1,1,0,0,0
18,19,10,10,10,9,10,9,1,1,1,1,1,1
6,4,4,4,4,4,14,4,0,0,0,0,0,0
8,18,6,6,9,6,6,8,1,1,1,1,1,1
9,1,14,14,8,15,14,8,0,0,0,0,0,0
2,3,1,1,4,4,1,2,1,1,0,0,1,1
9,7,7,3,7,7,8,1,0,1,0,0,0,1
3,1,9,3,9,9,15,9,0,0,0,0,0,0
1,16,1,1,16,16,2,1,1,1,0,0,1,1
18,7,14,14,14,14,11,11,0,0,0,0,0,0
12,5,5,17,5,5,17,5,0,0,0,0,0,0
8,6,7,16,16,7,6,6,0,0,0,0,0,0
5,6,9,9,14,14,9,14,0,0,0,0,0,0
17,19,9,9,9,9,9,9,1,1,1,1,1,1
5,9,4,4,1,6,3,4,1,1,1,1,1,1
9,5,5,5,5,5,5,5,0,0,0,0,0,0
2,3,5,3,5,3,3,3,0,0,0,0,0,0
