crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
0,14,14,14,14,14,14,14,0,0,0,0,0,0
5,6,6,4,6,4,6,4,0,1,0,1,0,1
3,2,6,3,3,12,12,3,0,0,0,0,0,0
17,4,16,16,16,9,9,9,0,0,0,0,0,0
2,15,15,15,15,15,15,0,0,0,0,0,0,1
5,9,6,8,9,9,6,9,1,1,0,0,1,0
18,16,4,7,4,7,4,4,1,1,1,1,1,1
3,18,3,3,10,3,3,10,1,1,1,1,1,1
2,5,2,2,2,5,2,2,1,1,1,0,1,1
8,3,10,10,10,10,10,10,0,0,0,0,0,0
2,10,6,6,6,6,6,6,1,1,1,1,1,1
2,4,3,2,2,3,2,2,1,1,1,1,1,1
18,12,7,7,7,7,7,7,1,1,1,1,1,1
0,2,2,2,2,2,2,2,0,0,0,0,0,0
2,11,11,11,1,11,11,1,0,0,1,0,0,1
0,1,1,1,1,1,1,1,0,0,0,0,0,0
11,13,19,19,19,19,19,19,0,0,0,0,0,0
2,8,1,8,8,1,1,1,1,0,0,1,1,1
3,19,1,1,1,1,1,1,1,1,1,1,1,1
15,14,14,14,12,11,11,12,0,0,1,1,1,1
7,12,8,8,8,8,8,8,1,1,1,1,1,1
2,19,19,19,1,19,2,1,0,0,1,0,1,1
4,8,2,8,9,7,18,8,1,0,0,1,0,0
6,5,14,14,14,3,14,14,0,0,0,1,0,0
2,3,3,3,3,3,3,3,0,0,0,0,0,0
4,19,19,3,3,3,3,19,0,1,1,1,1,0
16,12,11,11,11,11,11,11,1,1,1,1,1,1
2,6,2,7,17,1,1,2,1,0,0,1,1,1
7,13,9,4,4,10,10,4,1,1,1,1,1,1
19,19,15,15,15,15,15,15,1,1,1,1,1,1
15,18,8,16,8,18,8,9,1,1,1,0,1,1
9,7,7,14,15,3,14,14,0,0,0,1,0,0
19,19,16,16,16,16,16,16,1,1,1,1,1,1
17,4,4,8,8,4,18,18,0,0,0,0,0,0
3,4,0,4,2,0,6,4,1,0,1,1,0,0
6,12,13,12,13,12,13,12,0,0,0,0,0,0
4,7,7,4,4,2,2,4,0,1,1,1,1,1
4,10,4,4,12,4,10,12,1,1,0,1,0,0
18,11,12,12,12,12,12,12,0,0,0,0,0,0
1,3,1,1,1,1,1,1,1,1,1,1,1,1
15,13,12,12,12,12,12,10,1,1,1,1,1,1
1,2,2,2,0,2,2,2,0,0,1,0,0,0
9,6,19,19,19,14,19,19,0,0,0,0,0,0
5,15,13,13,13,13,13,13,1,1,1,1,1,1
7,4,4,4,4,17,4,17,0,0,0,0,0,0
5,8,4,8,8,8,8,8,1,0,0,0,0,0
4,8,8,1,1,1,8,1,0,1,1,1,0,1
